product_id,brand,weight,cpu,cpu_series,cpu_model,cpu_cache,freq,freq_bound,gpu,gpu_model,gpu_size,HDD,SSD,screen_size,screen_acc,port_vga,port_hdmi,port_thunderbolt,port_serial,usb3,usb2,usb4,usbc,battery,os,ram,ram_kind,price
dkp-2837919,apple,1.29,Intel,Corei5,10thGeneration1030NG7,6000000,1.1_3.5,_2.0,Intel,IntelIrisPlus,0,0,512000000000,13.3,QHD,0,0,1,0,0,0,0,1,0,AppleMacOS,8000000000,DDR4,30864000
dkp-3681629,asus,1.4,Intel,Corei7,1065G7,8000000,1.3,2.8,NVIDIA,GeforceMX350,2000000000,0,1000000000000,14,FullHD,0,1,0,0,0,0,0,1,0,0,16000000000,DDR4,30850000
dkp-4929894,dell,1.84,Intel,Corei7,1165G7,12000000,2.8,2.8,NVIDIA,GeforceMX330,2000000000,0,512000000000,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,16000000000,DDR4,30750000
dkp-3579826,lenovo,2.2,Intel,Corei7,10750H,12000000,2.6UPTO5.0,2.5_2.8,NVIDIA,GTX1650,4000000000,1000000000000,512000000000,15.6,FullHD,0,1,0,0,2,0,0,1,0,0,16000000000,DDR4,30700000
dkp-3612428,lenovo,1.9,Intel,Corei7,10510u,8000000,1.8_4.9,-1,AMD,RadeonRX640,2000000000,0,512000000000,15.6,FullHD,0,1,0,0,2,1,0,0,0,0,8000000000,DDR4,30700000
dkp-3716640,lenovothinkpad,1.9,Intel,Corei7,10510U,8000000,1.8UPTO4.9,_2.0,AMD,RX640GDDR5128BIT,2000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,8000000000,DDR4,30600000
dkp-3944876,lenovo,2.46,Intel,Corei7,10750H,12000000,2.6UPTO5.0,2.5_2.8,NVIDIA,GTX1650TI,4000000000,1000000000000,128000000000,15.6,FullHD,0,1,0,0,4,0,0,1,0,0,16000000000,DDR4,30370000
dkp-3443631,huawei,1.32,Intel,Corei7,10510U,8000000,1.8_4.9,2.8,NVIDIA,GeForceMX250,2000000000,0,512000000000,13,2160x1440,0,0,0,0,0,0,0,1,0,0,16000000000,LPDDR3,30250000
dkp-3716027,lenovothinkpad,1.9,Intel,Corei7,10510U,8000000,1.8UPTO4.9,_2.0,AMD,RX640GDDR5128BIT,2000000000,1000000000000,128000000000,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,8000000000,DDR4,30100000
dkp-4902401,dell,2,Intel,Corei3,8145U,4000000,2.1,_2.0,Intel,IntelUHDGraphics620,0,0,128000000000,15.6,HD,0,1,0,0,2,1,0,0,0,MicrosoftWindows10,8000000000,DDR4,30000000
dkp-3693064,acer,2.15,Intel,Corei5,10300H,8000000,2.50,2.8,NVIDIA,GTX1650GDDR6,4000000000,0,1000000000000,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,8000000000,DDR4,29890000
dkp-3716720,lenovothinkpad,1.9,Intel,Corei7,10510U,8000000,1.8UPTO4.9,_2.0,AMD,RX640GDDR5128BIT,2000000000,1000000000000,0,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,16000000000,DDR4,29850000
dkp-5017910,lenovo,2.2,Intel,Corei7,10750H,12000000,2.6,2.8,NVIDIA,GeforceGTX1650TI,4000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,2,0,0,1,0,0,16000000000,DDR4,29700000
dkp-4929991,dell,1.84,Intel,Corei7,1165G7,12000000,2.8,2.8,NVIDIA,GeforceMX330,2000000000,0,512000000000,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,8000000000,DDR4,29500000
dkp-5113426,hp,1.75,Intel,Corei7,1165G7,12000000,2.8,2.8,NVIDIA,GeForceMX450,2000000000,0,1000000000000,15.6,FullHD,0,1,0,0,2,0,0,1,0,0,8000000000,LPDDR4,29455000
dkp-3782021,dell,1.82,Intel,Corei5,8265U,6000000,1.6_3.9,2.8,Intel,UHD620,0,1000000000000,0,15.6,HD,0,1,0,0,3,0,0,1,0,0,8000000000,DDR4,29000000
dkp-3738670,apple,1.29,Apple,M1,AppleM1chip,12000000,-1,2.8,Apple,7coreApple,0,0,256000000000,13.3,QHD,0,0,1,0,0,0,1,0,0,AppleMacOS,8000000000,Unified,28999000
dkp-5202872,dell,2.68,Intel,Corei5,10thGenerationIntelCorei5,8000000,2.5Upto4.5,2.8,NVIDIA,GeForceGTX1650Ti,4000000000,1000000000000,256000000000,15.6,FullHD,0,1,1,0,1,2,0,1,0,MicrosoftWindows10,8000000000,DDR4,28900000
dkp-3738550,apple,1.29,Apple,M1,AppleM1chip,12000000,-1,2.8,Apple,7coreApple,0,0,256000000000,13.3,QHD,0,0,1,0,0,0,1,0,0,AppleMacOS,8000000000,Unified,28499000
dkp-3515784,asus,1.8,Intel,Corei7,1065G7,8000000,1.3_3.9,2.8,NVIDIA,GeForce,2000000000,0,512000000000,15.6,FullHD,0,1,0,0,1,2,0,1,0,0,16000000000,DDR4,28400000
dkp-5144575,lenovo,2.39,Intel,Corei7,10750H,12000000,2.6,2.8,NVIDIA,GeForceGTX1650,4000000000,0,512000000000,15.6,FullHD,0,1,0,0,3,0,0,1,0,0,8000000000,DDR4,27999000
dkp-3735138,apple,1.29,Apple,M1,AppleM1chip,12000000,-1,2.8,Apple,7coreApple,0,0,256000000000,13.3,QHD,0,0,1,0,0,0,1,1,0,AppleMacOS,8000000000,Unified,27999000
dkp-5182565,lenovo,1.5,AMD,Ryzen7,4700U,8000000,2.0,2.8,AMD,AMDRadeonGraphics,2000000000,0,512000000000,14,FullHD,0,1,0,0,2,0,0,1,0,MicrosoftWindows10,16000000000,DDR4,27900000
dkp-3419432,lenovo,2.2,Intel,Corei7,10750H,12000000,2.6UPTO5,2.8,NVIDIA,GeForceGTX1650,4000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,1,0,0,1,0,0,16000000000,DDR4,27700000
dkp-3739328,lenovo,1.9,Intel,Corei7,10510u,8000000,1.8_4.9,2.8,AMD,RadeonRX640,2000000000,1000000000000,0,15.6,FullHD,0,1,0,0,2,1,0,0,0,0,8000000000,DDR4,27700000
dkp-3715878,lenovothinkpad,1.9,Intel,Corei7,10510U,8000000,1.8UPTO4.9,_2.0,AMD,RX640GDDR5128BIT,2000000000,1000000000000,0,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,8000000000,DDR4,27900000
dkp-3911672,lenovo,1.9,Intel,Corei5,10510U,6000000,1.6UPTO4.2,_2.0,AMD,RX640GDDR5128BIT,2000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,2,1,0,0,0,0,16000000000,DDR4,26850000
dkp-5006162,acer,1.8,Intel,Corei7,1065G7,8000000,1.3,2.8,NVIDIA,GeforceMX350,2000000000,2000000000000,256000000000,15.6,FullHD,0,1,0,0,2,1,0,1,0,MicrosoftWindows10,8000000000,DDR4,26799000
dkp-4647229,hp,2.34,Intel,Corei5,10300H,8000000,2.5,2.8,NVIDIA,GeForceGTX1660TiGDDR6,6000000000,0,512000000000,16.1,FullHD,0,1,0,0,2,1,0,1,0,MicrosoftWindows10,8000000000,DDR4,26799000
dkp-3738286,asus,1.75,Intel,Corei7,1065G7,8000000,1.3UPTO3.9,_2.0,NVIDIA,MX330,2000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,1,2,0,1,0,0,8000000000,DDR4,26620000
dkp-5261492,lenovo,2.2,Intel,Corei5,10300H,8000000,2.5_4.5,2.8,NVIDIA,GTX1650GDDR6,4000000000,1000000000000,128000000000,15.6,FullHD,0,1,0,0,2,0,0,1,0,0,8000000000,DDR4,26500000
dkp-5183564,lenovo,1.66,Intel,Corei7,1165G7,12000000,2.8,2.8,NVIDIA,GeForceMX450,2000000000,1000000000000,256000000000,15.0,FullHD,0,1,0,0,2,0,0,1,0,0,16000000000,DDR4,26300000
dkp-2837471,apple,1.29,Intel,Corei3,dual,4000000,1.1_3.2,_2.0,Intel,IntelIrisPlus,0,0,256000000000,13.3,QHD,0,0,1,0,0,0,0,1,0,AppleMacOS,8000000000,DDR4,25999000
dkp-3765422,lenovo,2.2,Intel,Corei7,10750H,12000000,2.6,-1,NVIDIA,GeForceGTX1650,4000000000,0,512000000000,15.6,FullHD,0,1,0,0,0,0,0,0,0,0,8000000000,DDR4,25938400
dkp-5182301,lenovo,1.5,Intel,Corei7,10510U,8000000,1.8,2.8,NVIDIA,GeForceMX330GDDR564Bit,2000000000,1000000000000,256000000000,14,FullHD,0,1,0,0,2,1,0,0,0,0,12000000000,DDR4,25800000
dkp-5271207,dell,2.56,Intel,Corei5,10300H,8000000,2.5,2.8,NVIDIA,GeForceGTX1650GDDR6,4000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,1,2,0,0,0,UbuntuLinux,16000000000,DDR4,25740000
dkp-4648968,asus,1.7,Intel,Corei7,1065G7,8000000,1.3,2.8,NVIDIA,GeforceMX330,2000000000,0,512000000000,14,FullHD,0,1,0,0,1,2,0,1,0,0,8000000000,DDR4,25500000
dkp-3892617,lenovo,1.9,Intel,Corei5,10510U,6000000,1.6UPTO4.2,_2.0,AMD,RX640GDDR5128BIT,2000000000,0,256000000000,15.6,FullHD,0,1,0,0,2,1,0,0,0,0,8000000000,DDR4,25200000
dkp-5182300,lenovo,1.5,Intel,Corei7,10510U,8000000,1.8,2.8,NVIDIA,GeForceMX330GDDR564Bit,2000000000,1000000000000,128000000000,14,FullHD,0,1,0,0,2,1,0,0,0,0,12000000000,DDR4,25200000
dkp-3690931,lenovo,2.2,Intel,Corei5,10300H,8000000,2.5UPTO4.5,2.5_2.8,NVIDIA,GTX1650GDDR6,4000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,2,0,0,1,0,0,16000000000,DDR4,25100000
dkp-2837445,apple,1.29,Intel,Corei3,dual,4000000,1.1_3.2,_2.0,Intel,IntelIrisPlus,0,0,256000000000,13.3,QHD,0,0,1,0,0,0,0,1,0,AppleMacOS,4000000000,DDR4,25099000
dkp-2837419,apple,1.29,Intel,Corei3,dual,4000000,1.1_3.2,_2.0,Intel,IntelIrisPlus,0,0,256000000000,13.3,QHD,0,0,1,0,0,0,0,1,0,AppleMacOS,8000000000,DDR4,25050000
dkp-3139626,lenovo,2.2,Intel,Corei7,10510U,8000000,1.8_4.9,2.8,NVIDIA,GeForceMX130GDDR5,2000000000,1000000000000,0,15.6,FullHD,0,1,0,0,2,0,0,0,0,0,8000000000,DDR4,25000000
dkp-4676246,acer,2.1,Intel,Corei7,1065G7,8000000,1.3,2.8,NVIDIA,GeForceMX330,2000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,2,1,0,0,0,0,8000000000,DDR4,24900000
dkp-5182298,lenovo,1.5,Intel,Corei7,10510U,8000000,1.8,2.8,NVIDIA,GeForceMX330GDDR564Bit,2000000000,1000000000000,256000000000,14,FullHD,0,1,0,0,2,1,0,0,0,0,8000000000,DDR4,24900000
dkp-5074579,lenovo,1.75,Intel,Corei5,10210U,6000000,1.8_4.9,2.8,AMD,RadeonRX640,2000000000,1000000000000,512000000000,14,FullHD,0,1,0,0,2,1,0,1,0,0,16000000000,DDR4,24900000
dkp-4886351,asus,2,Intel,Corei7,1065G7,8000000,1.3,2.8,NVIDIA,GeforceMX130,2000000000,1000000000000,0,15.6,FullHD,0,0,0,0,0,2,0,1,0,0,8000000000,DDR4,24800000
dkp-3373886,hp,2,Intel,Corei7,10510U,8000000,1.8_4.9,_2.0,NVIDIA,GeForce,2000000000,1000000000000,0,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,8000000000,DDR4,24700000
dkp-3430296,asus,1.8,Intel,Corei7,8565U,8000000,-1,2.8,NVIDIA,MX250,2000000000,0,512000000000,14,FullHD,0,1,0,0,1,2,0,1,0,0,16000000000,DDR3,24600000
dkp-5074734,lenovo,1.75,Intel,Corei5,10210U,6000000,1.8_4.9,2.8,AMD,RadeonRX640,2000000000,1000000000000,256000000000,14,FullHD,0,1,0,0,2,1,0,1,0,0,16000000000,DDR4,24500000
dkp-3660746,asus,1.7,Intel,Corei7,10510U,8000000,1.80_4.90,2.8,NVIDIA,GEFORCEMX110,2000000000,1000000000000,0,15.6,FullHD,0,1,0,0,1,2,0,1,0,0,8000000000,DDR4,24500000
dkp-5182213,lenovo,1.5,Intel,Corei7,10510U,8000000,1.8,2.8,NVIDIA,GeForceMX330GDDR564Bit,2000000000,1000000000000,128000000000,14,FullHD,0,1,0,0,2,1,0,0,0,0,8000000000,DDR4,24500000
dkp-4894442,dell,2.56,Intel,Corei5,10300H,8000000,2.5,2.5_2.8,NVIDIA,GeForceGTX1650GDDR6,4000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,1,2,0,0,0,UbuntuLinux,8000000000,DDR4,24230000
dkp-2450330,hp,1.46,Intel,Corei3,8145U,4000000,2.1_3.9,-1,Intel,IntelUHDGraphics620,0,0,128000000000,14,HD,0,1,0,0,2,0,0,1,0,MicrosoftWindows10,4000000000,DDR4,24150000
dkp-5006284,lenovo,1.7,Intel,Corei7,10510U,8000000,1.80,2.8,NVIDIA,NVIDIAGeforceMX330,2000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,2,1,0,0,0,0,12000000000,DDR4,24000000
dkp-3891076,lenovo,1.9,Intel,Corei5,10510U,8000000,1.6UPTO4.2,_2.0,AMD,RX640GDDR5128BIT,2000000000,0,256000000000,15.6,FullHD,0,1,0,0,2,1,0,0,0,0,8000000000,DDR4,23990000
dkp-3690851,lenovo,2.2,Intel,Corei5,10300H,8000000,2.5UPTO4.5,2.5_2.8,NVIDIA,GTX1650GDDR6,4000000000,1000000000000,128000000000,15.6,FullHD,0,1,0,0,2,0,0,1,0,0,16000000000,DDR4,23900000
dkp-3634340,asus,1.9,Intel,Corei7,10510U,8000000,1.8_4.9,2.8,NVIDIA,GEFORCEMX230,2000000000,1000000000000,0,15.6,FullHD,0,1,0,0,1,2,0,1,0,0,8000000000,DDR4,23850000
dkp-5182299,lenovo,1.5,Intel,Corei7,10510U,8000000,1.8,2.8,NVIDIA,GeForceMX330GDDR564Bit,2000000000,1000000000000,0,14,FullHD,0,1,0,0,2,1,0,0,0,0,12000000000,DDR4,23800000
dkp-4052916,lenovo,1.7,Intel,Corei5,1035G1,6000000,1.0UPTO3.6,_2.0,AMD,Radeon630,2000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,16000000000,DDR4,23500000
dkp-5085994,lenovothinkpad,1.75,Intel,Corei5,10210U,6000000,1.8,2.8,AMD,RadeonRX640,2000000000,1000000000000,128000000000,14,FullHD,0,1,0,0,2,1,0,1,0,0,16000000000,DDR4,23400000
dkp-5173144,lenovo,1.86,AMD,Ryzen7,3700U,4000000,2.3_4,2.8,AMD,IntegratedAMDRadeonRXVega10Graphics,2000000000,0,512000000000,15.6,FullHD,0,1,0,0,1,0,0,1,0,MicrosoftWindows10,12000000000,DDR4,23400000
dkp-3419830,asus,1.7,Intel,Corei5,1035G1,6000000,-1,-1,NVIDIA,GeForce,2000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,0,0,0,0,0,0,8000000000,DDR4,23230000
dkp-3164074,huawei,1.62,Intel,Corei5,10210U,6000000,1.6_4.2,_2.0,NVIDIA,GeForceMX250,2000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,1,1,0,1,0,0,8000000000,DDR4,22990000
dkp-4868910,lenovo,2.2,Intel,Corei7,10510U,8000000,1.8_4.9,2.8,NVIDIA,GeForceMX330GDDR5,2000000000,1000000000000,0,15.6,HD,0,1,0,0,2,0,0,0,0,0,8000000000,DDR4,22899000
dkp-5121958,lenovo,1.75,Intel,Corei7,10510U,8000000,1.8,2.8,NVIDIA,GeforceMX330,2000000000,1000000000000,0,14,FullHD,0,1,0,0,2,1,0,0,0,0,8000000000,DDR4,22700000
dkp-5112920,asus,2,Intel,Corei5,1035G1,8000000,1.3,2.8,NVIDIA,GeforceMX130,2000000000,1000000000000,256000000000,15.6,FullHD,0,0,0,0,0,2,0,1,0,0,12000000000,DDR4,22640000
dkp-4053065,lenovo,1.7,Intel,Corei5,1035G1,6000000,1.0UPTO3.6,_2.0,AMD,Radeon630,2000000000,1000000000000,128000000000,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,16000000000,DDR4,22600000
dkp-4053273,lenovo,1.7,Intel,Corei5,1035G1,6000000,1.0UPTO3.6,_2.0,AMD,Radeon630,2000000000,1000000000000,256000000000,15.6,FullHD,0,1,0,0,2,1,0,1,0,0,8000000000,DDR4,22600000
dkp-5114119,lenovo,1.85,Intel,Corei5,1035G1,6000000,1.0,2.8,NVIDIA,GeforceMX330,2000000000,1000000000000,256000000000,15.6,HD,0,1,0,0,2,1,0,0,0,0,12000000000,DDR4,22500000
dkp-5087941,lenovo,1.75,Intel,Corei5,10210U,6000000,1.8,2.8,AMD,RadeonRX640,2000000000,1000000000000,256000000000,14,FullHD,0,1,0,0,1,1,0,1,0,0,8000000000,DDR4,22500000
